TMDL TARGET DATE(S) ++,NOTE,BASIN,HUC,LOCATION,STATION,COUNTY,USE,CAUSE
2013,,BROAD,030501070402,FAIRFOREST CK AT SC 56,B-021,SPARTANBURG,AL,BIO
2014,,BROAD,030501070402,LAKE JOHNSON AT SPILLWAY AT S-42-359,CL-035,SPARTANBURG,AL,CHLA
2014,,BROAD,030501070402,LAKE JOHNSON AT SPILLWAY AT S-42-359,CL-035,SPARTANBURG,AL,DO
2014,,BROAD,030501070402,LAKE JOHNSON AT SPILLWAY AT S-42-359,CL-035,SPARTANBURG,AL,PH
2014,,BROAD,030501070402,LAKE JOHNSON AT SPILLWAY AT S-42-359,CL-035,SPARTANBURG,AL,TP
2013,,BROAD,030501070405,"MITCHELL CREEK AT SR 19,  IST REPLICATE OF TWO STATIONS, DOWNSTREAM OF BRIDGE",B-781,UNION,AL,BIO
2013,,BROAD,030501070405,FAIRFOREST CK ON CO RD 12 SW OF JONESVILLE,BF-007,UNION,AL,CU
,,,,,,,,
2016,,BROAD,030501070406,TOSCHS CK AT S-44-75 2 MI SW OF UNION,B-067A,UNION,AL,CU
,,,,,,,,
2013,,BROAD,030501070501,"JIMMIES CRK. AT STEWART RD, 1 MILE UPSTREAM OF SR 113",B-786,SPARTANBURG,AL,BIO
,,,,,,,,
"2012, 2012",,BROAD,030501070505,TINKER CK AT UN# CO RD 1.7 MI SSE OF UNION,B-287,UNION,AL,PH
"2012, 2012",,BROAD,030501070505,TINKER CK AT UN# CO RD 1.7 MI SSE OF UNION,B-287,UNION,AL,TURBIDITY
2015,,BROAD,030501070506,CANE CRK. AT SR 359,B-777,UNION,AL,BIO
,,,,,,,,
2016,,BROAD,030501070507,TYGER RVR AT S-44-35 3.5 MI S OF CARLISLE,B-349,UNION,AL,CU
,,,,,,,,
2015,,BROAD,030501080101,BUCKHORN CRK. AT SR 562,B-795,GREENVILLE,AL,BIO
2015,,BROAD,030501080101,BEAVERDAM CRK. AT SC 253,B-796,GREENVILLE,AL,BIO
2013,#,BROAD,030501080101,"ENOREE R. AT PINE LOG FORD RD., 2ND CROSSING ABOVE SC 253 BRIDGE",B-797,GREENVILLE,AL,BIO
"2012, 2012",#,BROAD,030501080101,ENOREE RVR AT UNNUM RD W US 25 N TRAVELERS REST,BE-001,GREENVILLE,AL,ZN
"2012, 2012",#,BROAD,030501080101,ENOREE RVR AT UNNUM RD W US 25 N TRAVELERS REST,BE-001,GREENVILLE,AL,PH
2014,,BROAD,030501080101,MOUNTAIN CRK. AT SR 279,BE-008,GREENVILLE,AL,BIO
2012,#,BROAD,030501080101,BEAVERDAM CK AT RD 1967,BE-039,GREENVILLE,AL,PH
,,,,,,,,
2013,,BROAD,030501080102,"PRINCESS CREEK AT SUBER MILL RD, SECOND RD S OF US 29 OFF S-23-540",B-192,GREENVILLE,AL,BIO
2013,,BROAD,030501080102,ROCKY CK AT BRDG IN BATESVILLE 1 MI AB JCT WITH ENOREE,BE-007,GREENVILLE,AL,BIO
2015,,BROAD,030501080102,BRUSHY CK AT S-23-164,BE-009,GREENVILLE,AL,BIO
2015,,BROAD,030501080102,BRUSHY CK AT HOWELL RD (S-23-273/335) APPROX 5 MI NE OF GREENVILLE (BIO B-798),BE-035,GREENVILLE,AL,BIO
,,,,,,,,
2013,,BROAD,030501080103,GILDER CK AT S-23-142 2.75 MI ENE OF MAULDIN,B-241,GREENVILLE,AL,TURBIDITY
2013,,BROAD,030501080103,HORSE PEN CRK. AT SR 145,B-793,GREENVILLE,AL,BIO
2013,,BROAD,030501080103,GILDER CK AT S-23-143 1/4 MI AB JCT WITH ENOREE RVR,BE-020,GREENVILLE,AL,BIO
,,,,,,,,
2013,,BROAD,030501080104,"ENOREE RVR AT SC 296, 7.5 MI NE OF MAULDIN",BE-017,GREENVILLE,AL,BIO
,,,,,,,,
2014,,BROAD,030501080105,DURBIN CREEK AT SC 418,B-097,LAURENS,AL,TURBIDITY
,,,,,,,,
2013,,BROAD,030501080106,ENOREE RVR AT S-30-75,BE-018,LAURENS,AL,TURBIDITY
2013,,BROAD,030501080106,ENOREE RIVER AT SC HWY 418,BE-019,LAURENS,AL,BIO
,,,,,,,,
2016,,BROAD,030501080201,"BEAVERDAM CK AT S-30-97, 7 MI NE OF GRAY COURT",B-246,LAURENS,AL,CU
2011,,BROAD,030501080201,BEAVERDAM CREEK AT S-30-399 10 MI N OF LAURENS,RS-05566,LAURENS,AL,BIO
,,,,,,,,
"2016, 2012",,BROAD,030501080206,"ENOREE RVR AT SC 72, 121, & US 176, 1 MI NE WHITMIRE",B-053,NEWBERRY,AL,CU
"2016, 2012",,BROAD,030501080206,"ENOREE RVR AT SC 72, 121, & US 176, 1 MI NE WHITMIRE",B-053,NEWBERRY,AL,ZN
2013,,BROAD,030501080501,"KINGS CRK. AT US 176, DOWNSTREAM OF BRIDGE",B-799,NEWBERRY,AL,BIO
,,,,,,,,
2016,,BROAD,030501080502,ENOREE RVR AT S-36-45 3.5 MI AB JCT WITH BROAD RVR,B-054,NEWBERRY,AL,CU
,,,,,,,,
2016,,CATAWBA,030501011502,LAKE WYLIE AB MILL CK ARM AT END OF S-46-557,CW-197,YORK,AL,CU
,,,,,,,,
2012,,CATAWBA,030501011504,"BROWN CREEK AT S-46-228 (GUINN ST), 0.3 MI WEST OF OLD NORTH MAIN STREET IN CLOVER, SC",CW-105,YORK,AL,TURBIDITY
2012,,CATAWBA,030501011504,BEAVERDAM CK AT S-46-152 8 MI E OF CLOVER,CW-153,YORK,AL,TURBIDITY
2011,,CATAWBA,030501011504,BEAVERDAM CREEK AT BRIDGE ON S-46-64 3.2 MI ENE OF CLOVER,RS-06020,YORK,AL,BIO
,,,,,,,,
2017,,CATAWBA,030501011505,CROWDERS CK AT S-46-564 NE CLOVER,CW-023,YORK,AL,CU
2013,,CATAWBA,030501011505,CROWDERS CREEK AT S-46-1104,CW-024,YORK,AL,BIO
2016,,CATAWBA,030501011505,"LK WYLIE, CROWDERS CK ARM AT SC 49 AND SC 274",CW-027,YORK,REC,FC
,,,,,,,,
2016,,CATAWBA,030501011508,"LAKE WYLIE AT DAM, UNDER POWERLINES",CW-230,YORK,AL,CU
,,,,,,,,
2014,,CATAWBA,030501030103,SUGAR CK US OF CONFLUENCE W/ MCALPINE CK,CW-246,YORK,AL,BIO
,,,,,,,,
2013,,CATAWBA,030501030107,MCALPINE CK AT S-29-64,CW-064,LANCASTER,AL,BIO
2013,,CATAWBA,030501030107,MCALPINE CK AT S-29-64,CW-064,LANCASTER,REC,FC
,,,,,,,,
2013,,CATAWBA,030501030108,STEEL CR. AT US BY-PASS 21,CW-681,YORK,AL,BIO
,,,,,,,,
2014,,CATAWBA,030501030109,SUGAR CK AT SC 160 E OF FORT MILL,CW-013,LANCASTER,AL,BIO
2014,,CATAWBA,030501030109,SUGAR CK AT SC 160 E OF FORT MILL,CW-013,LANCASTER,REC,FC
2014,,CATAWBA,030501030109,SUGAR CREEK AT S-46-36,CW-036,LANCASTER,AL,CU
2014,,CATAWBA,030501030109,SUGAR CREEK AT S-46-36,CW-036,LANCASTER,REC,FC
,,,,,,,,
2009,*,CATAWBA,030501030204,TWELVEMILE CK AT S-29-55 0.3 MI NW OF VAN WYCK,CW-083,LANCASTER,AL,CU
,,,,,,,,
2010,,CATAWBA,030501030302,CANE CK AT SC 200 5 MI NNE OF LANCASTER,CW-185,LANCASTER,AL,DO
,,,,,,,,
2010,,CATAWBA,030501030303,BEAR CK AT S-29-362 3.5 MI SE OF LANCASTER,CW-151,LANCASTER,AL,DO
,,,,,,,,
2012,,CATAWBA,030501030304,GILLS CK AT US 521 NNW OF LANCASTER,CW-047,LANCASTER,AL,TURBIDITY
2010,,CATAWBA,030501030304,BEAR CK AT S-29-292 1.6 MI W OF LANCASTER,CW-131,LANCASTER,AL,DO
2019,,CATAWBA,030501030304,HANNAHS CREEK AT S-29-376 3.4 MI E OF LANCASTER,RS-05403,LANCASTER,AL,DO
,,,,,,,,
"2010, 2010, 2010",,CATAWBA,030501030305,CANE CK AT S-29-50,CW-017,LANCASTER,AL,CU
"2010, 2010, 2010",,CATAWBA,030501030305,CANE CK AT S-29-50,CW-017,LANCASTER,AL,DO
"2010, 2010, 2010",,CATAWBA,030501030305,CANE CK AT S-29-50,CW-017,LANCASTER,AL,PH
2015,,CATAWBA,030501030305,CANE CR. AT SC 9 BYPASS,CW-210,LANCASTER,AL,BIO
2010,,CATAWBA,030501030305,RUM CK AT S-29-187,CW-232,LANCASTER,AL,DO
,,,,,,,,
2010,,CATAWBA,030501030401,WILDCAT CK AT S-46-650,CW-006,YORK,AL,DO
2010,,CATAWBA,030501030401,WILDCAT CK AT S-46-998 9 MI ENE OF MCCONNELLS,CW-096,YORK,AL,DO
2009,*,CATAWBA,030501030401,TOOLS FORK CREEK @ S-46-47,CW-169,YORK,REC,FC
2012,,CATAWBA,030501030401,TOOLS FORK AT S-46-195 7 MI NW OF ROCK HILL,CW-212,YORK,AL,TURBIDITY
2009,*,CATAWBA,030501030401,TOOLS FORK CREEKUPSTREAM OF RETENTION POND IN HAWKINS RIDGE OFF S-46-195,CW-545,YORK,REC,FC
,,,,,,,,
2010,,CATAWBA,030501030402,FISHING CK AT S-46-347 DS YORK WWTP,CW-005,YORK,AL,TURBIDITY
2016,,CATAWBA,030501030402,FISHING CREEK AT S-46-503,CW-225,YORK,AL,CU
,,,,,,,,
2013,,CATAWBA,030501030403,STONEY FORK CRK. AT SC 121 & 72,CW-697,YORK,AL,BIO
,,,,,,,,
2014,,CATAWBA,030501030404,"LAKE OLIPHANT, FOREBAY EQUIDISTANT FROM DAM AND SHORELINES",CL-021,CHESTER,AL,CHLA
,,,,,,,,
2013,#,CATAWBA,030501030406,SOUTH FORK OF FISHING CRK. AT SR 50,CW-007,CHESTER,AL,BIO
,,,,,,,,
2013,,CATAWBA,030501030407,FISHING CR. AT SR 655,CW-654,YORK,AL,BIO
2013,,CATAWBA,030501030407,TAYLORS CRK. AT SR 735,CW-695,YORK,AL,BIO
,,,,,,,,
2016,,CATAWBA,030501030408,TINKERS CK AT S-12-599,CW-234,CHESTER,AL,CU
,,,,,,,,
2010,,CATAWBA,030501030409,FISHING CK AT SC 223 NE RICHBURG,CW-008,CHESTER,AL,TURBIDITY
,,,,,,,,
2015,,CATAWBA,030501030503,BEAVER DAM CRK. AT SR 555,CW-691,CHESTER,AL,BIO
2011,,CATAWBA,030501030503,BEAVERDAM CREEK AT BRIDGE ON S-12-198 3.5 MI NW OF GREAT FALLS,RS-06171,CHESTER,AL,BIO
,,,,,,,,
"2008, 2012",*,CATAWBA,030501030505,CEDAR CK RESERVOIR/ROCKY CK AT S-12-141 SE OF GREAT FALLS,CW-175,CHESTER,AL,TP
"2008, 2012",*,CATAWBA,030501030505,CEDAR CK RESERVOIR/ROCKY CK AT S-12-141 SE OF GREAT FALLS,CW-175,CHESTER,AL,TURBIDITY
2016,,CATAWBA,030501030505,ROCKY CK AT S-12-138,CW-236,CHESTER,AL,CU
,,,,,,,,
2011,#,CATAWBA,030501030603,WAXHAW CK AT S-29-29,CW-145,LANCASTER,AL,CU
,,,,,,,,
2013,,CATAWBA,030501030604,GREENE CREEK AT S-12-465 8.2 MI N OF FORT LAWN,RS-03511,CHESTER,AL,BIO
2009,*,CATAWBA,030501030604,GREENE CREEK AT S-12-465 8.2 MI N OF FORT LAWN,RS-03511,CHESTER,REC,FC
2016,,CATAWBA,030501030604,SIXMILE CREEK AT BRIDGE ON S-46-691 2.6 MI NE OF RODDEY,RS-06176,YORK,AL,BIO
,,,,,,,,
"2008, 2008",*,CATAWBA,030501030606,FISHING CK RES 2 MI BL CANE CREEK,CW-016F,CHESTER,AL,TN
"2008, 2008",*,CATAWBA,030501030606,FISHING CK RES 2 MI BL CANE CREEK,CW-016F,CHESTER,AL,TP
"2010, 2008, 2008",*,CATAWBA,030501030606,FISHING CK RES 75 FT AB DAM NR GREAT FALLS,CW-057,CHESTER,AL,NH3N
"2010, 2008, 2008",*,CATAWBA,030501030606,FISHING CK RES 75 FT AB DAM NR GREAT FALLS,CW-057,CHESTER,AL,PH
"2010, 2008, 2008",*,CATAWBA,030501030606,FISHING CK RES 75 FT AB DAM NR GREAT FALLS,CW-057,CHESTER,AL,TP
"2008, 2010, 2008",*,CATAWBA,030501030606,CEDAR CK RESERVOIR AT UNIMP RD AB JCT WITH ROCKY CK,CW-174,CHESTER,AL,DO
"2008, 2010, 2008",*,CATAWBA,030501030606,CEDAR CK RESERVOIR AT UNIMP RD AB JCT WITH ROCKY CK,CW-174,CHESTER,AL,TN
"2008, 2010, 2008",*,CATAWBA,030501030606,CEDAR CK RESERVOIR AT UNIMP RD AB JCT WITH ROCKY CK,CW-174,CHESTER,AL,TP
"2008, 2008",*,CATAWBA,030501030606,CEDAR CK RES 2.15 M SE OF GREAT FALLS,RL-01007,LANCASTER,AL,DO
"2008, 2008",*,CATAWBA,030501030606,CEDAR CK RES 2.15 M SE OF GREAT FALLS,RL-01007,LANCASTER,AL,CHLA
2008,*,CATAWBA,030501030606,FISHING CK RES 3.8 M S OF FORT LAWN OFF W SHORE OF THE TOWN OF LAKE VIEW,RL-01012,CHESTER,AL,CHLA
2010,,CATAWBA,030501030606,CEDAR CK RES FROM W OF BIG ISL 7 MI BELOW ROCKY CK CONFL,RL-02319,CHESTER,AL,TP
2008,*,CATAWBA,030501030606,CEDAR CK RES 0.15 MI SE OF S TIP PICKETT ISLAND,RL-02452,LANCASTER,AL,TP
"2008, 2008, 2012",*,CATAWBA,030501030606,GREAT FALLS RESERVOIR 0.9 MI NE OF GREAT FALLS,RL-03332,CHESTER,AL,TN
"2008, 2008, 2012",*,CATAWBA,030501030606,GREAT FALLS RESERVOIR 0.9 MI NE OF GREAT FALLS,RL-03332,CHESTER,AL,TP
"2008, 2008, 2012",*,CATAWBA,030501030606,GREAT FALLS RESERVOIR 0.9 MI NE OF GREAT FALLS,RL-03332,CHESTER,AL,TURBIDITY
"2016, 2008, 2012",*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 0.3 MI NE OF DAM AND W OF BIG ISLAND,RL-03351,CHESTER,AL,CU
"2016, 2008, 2012",*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 0.3 MI NE OF DAM AND W OF BIG ISLAND,RL-03351,CHESTER,AL,TP
"2016, 2008, 2012",*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 0.3 MI NE OF DAM AND W OF BIG ISLAND,RL-03351,CHESTER,AL,TURBIDITY
"2008, 2012",*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 1.9 MI SE OF GREAT FALLS AND E OF BIG ISLAND,RL-03353,CHESTER,AL,TURBIDITY
"2008, 2012",*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 1.9 MI SE OF GREAT FALLS AND E OF BIG ISLAND,RL-03353,CHESTER,AL,TP
"2008, 2012",*,CATAWBA,030501030606,GREAT FALLS RSVR 1 MI NE OF GREAT FALLS,RL-03458,CHESTER,AL,TP
"2008, 2012",*,CATAWBA,030501030606,GREAT FALLS RSVR 1 MI NE OF GREAT FALLS,RL-03458,CHESTER,AL,TURBIDITY
2008,*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 2.2 MI SE OF GREAT FALLS SE OF BOWDEN ISLAND,RL-04375,LANCASTER,AL,TP
2008,*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 1.25 MI ESE OF GREAT FALLS NW OF HILL ISLAND,RL-04379,CHESTER,AL,TP
2008,*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR 0.42 MI NNW OF S-29-405 ON LANCASTER CHESTER COUNTY LINE,RL-05391,CHESTER,AL,TP
2008,*,CATAWBA,030501030606,GREAT FALLS RESERVOIR 1 MI EAST OF JUNCTION OF SC 99 AND US 21,RL-05414,CHESTER,AL,TP
2008,*,CATAWBA,030501030606,CEDAR CREEK RESERVOIR DEBUTARY CREEK BRANCH 0.4 MI E OF DEBUTARY CREEK AND S-20-268,RL-05416,FAIRFIELD,AL,TP
2008,*,CATAWBA,030501030606,GREAT FALLS RESERVOIR 1.2 MI SE OF GREAT FALLS W OF BIG ISLAND,RL-06429,CHESTER,AL,TP
2008,*,CATAWBA,030501030606,CEDAR CREEK RESEVOIR 1.6 MI SE OF GREAT FALLS E OF BIG ISLAND,RL-06431,CHESTER,AL,TP
2008,*,CATAWBA,030501030606,CEDAR CREEK RESEVOIR 2.3 MI SE OF GREAT FALLS S OF PICKET ISLAND,RL-06443,CHESTER,AL,PH
,,,,,,,,
2010,,CATAWBA,030501040102,LITTLE WATEREE CK AT S-20-41 5 MI E OF WINNSBORO,CW-040,FAIRFIELD,AL,DO
,,,,,,,,
"2020, 2010",,CATAWBA,030501040105,BIG WATEREE CK AT US 21,CW-072,FAIRFIELD,AL,CU
"2020, 2010",,CATAWBA,030501040105,BIG WATEREE CK AT US 21,CW-072,FAIRFIELD,AL,DO
"2008, 2012",*,CATAWBA,030501040106,CEDAR CK RESERVOIR 100 M N OF DAM,CW-033,LANCASTER,AL,TP
"2008, 2012",*,CATAWBA,030501040106,CEDAR CK RESERVOIR 100 M N OF DAM,CW-033,LANCASTER,AL,TURBIDITY
"2008, 2008, 2012",*,CATAWBA,030501040106,LK WATEREE HEADWATERS APPROX 50 YDS DS CONFL CEDAR CK,CW-231,LANCASTER,AL,PH
"2008, 2008, 2012",*,CATAWBA,030501040106,LK WATEREE HEADWATERS APPROX 50 YDS DS CONFL CEDAR CK,CW-231,LANCASTER,AL,TP
"2008, 2008, 2012",*,CATAWBA,030501040106,LK WATEREE HEADWATERS APPROX 50 YDS DS CONFL CEDAR CK,CW-231,LANCASTER,AL,TURBIDITY
"2008, 2008, 2008",*,CATAWBA,030501040108,LK WATEREE AT S-20-101 11 MI ENE WINNSBORO,CW-208,FAIRFIELD,AL,CHLA
"2008, 2008, 2008",*,CATAWBA,030501040108,LK WATEREE AT S-20-101 11 MI ENE WINNSBORO,CW-208,FAIRFIELD,AL,PH
"2008, 2008, 2008",*,CATAWBA,030501040108,LK WATEREE AT S-20-101 11 MI ENE WINNSBORO,CW-208,FAIRFIELD,AL,TP
2009,*,CATAWBA,030501040108,DUTCHMANS CK AT S-20-106,RS-02321,FAIRFIELD,REC,FC
,,,,,,,,
"2020, 2008",,CATAWBA,030501040111,LK WATEREE IN FOREBAY EQUIDISTANT FROM DAM AND SHORELINES,CL-089,KERSHAW,AL,DO
"2020, 2008",,CATAWBA,030501040111,LK WATEREE IN FOREBAY EQUIDISTANT FROM DAM AND SHORELINES,CL-089,KERSHAW,AL,PH
"2008, 2008",*,CATAWBA,030501040111,LK WATEREE AT END OF S-20-291,CW-207,FAIRFIELD,AL,PH
"2008, 2008",*,CATAWBA,030501040111,LK WATEREE AT END OF S-20-291,CW-207,FAIRFIELD,AL,TP
"2008, 2008",*,CATAWBA,030501040111,LK WATEREE AT SMALL ISLAND 2.3 MI N OF DAM,CW-209,KERSHAW,AL,PH
